1,"out_property[out_property,...]","The Z properties that will be added to the attribute table of the input feature class. The following options are available:

Z ！Spot elevation of single-point feature.
POINT_COUNT ！Number of points in each multipoint feature.
Z_MIN ！Lowest Z value found in each multipoint, polyline, polygon, or multipatch feature.
Z_MAX ！Highest Z value found in each multipoint, polyline, polygon, or multipatch feature.
Z_MEAN ！Average Z value found in each multipoint, polyline, polygon, or multipatch feature.
LENGTH_3D ！3-dimensional length of each polyline or polygon feature.
SURFACE_AREA ！Total area of the surface of a multipatch feature.
VERTEX_COUNT ！Total number of vertices in each polyline or polygon feature.
MIN_SLOPE ！Lowest slope value calculated for each polyline, polygon, or multipatch feature.
MAX_SLOPE ！Highest slope value calculated for each polyline, polygon, or multipatch feature.
AVG_SLOPE ！Average slope value calculated for each polyline, polygon, or multipatch feature.
VOLUME ！Volume of space enclosed by each multipatch feature.",LiteralData,String,,,,,,,,,,,,,,,,
2,out_feature_class,The output multipatch containing the 3D buffers.,Vector,Feature Class,,,,,,,,,,,,,,,,
3,out_feature_class,The output multipatch feature class that will contain the resulting features.,Vector,Feature Class,,,,,,,,,,,,,,,,
4,out_feature_class,The output closed multipatch features.,Vector,Feature Class,,,,,,,,,,,,,,,,
5,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
6,out_table,"The output table providing a list of 3D?Input Features?that are inside or partially inside the?Input Multipatch Features?which are closed. The output table contains an?OBJECTID?(object ID),?Target_ID, and?Status?field. The?Status?field will state if the input feature (Target_ID) is inside or partially inside a multipatch.",NonGeoData,Table,,,,,,,,,,,,,,,,
7,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
8,"out_point_feature_class
(Optional)",Optional features that represent points of intersection between the 3D line and multipatch.,Vector,Feature Class,"out_line_feature_class
(Optional)",Optional line features that divide the input lines at each point of intersection with a multipatch feature.,Vector,Feature Class,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
11,out_feature_class,The output multipatch feature class that will store the aggregated features.,Vector,Feature Class,,,,,,,,,,,,,,,,
12,out_feature_class,The output feature class containing multipatch features with CGA rules applied.,Vector,Feature Class,,,,,,,,,,,,,,,,
13,out_3d_web_scene,The output 3D Web Scene (.3ws) that will be created from the ArcScene document.,GeoData,File,,,,,,,,,,,,,,,,
14,out_feature_class,The output multipatch feature class.,Vector,Feature Class,,,,,,,,,,,,,,,,
15,output_location,The folder that output files will be written to.,GeoData,Folder,out_file,"The name of the resulting ASCII file.If a line or polygon feature class is exported to XYZ format, the file name is used as a base name. Each feature will have a unique file output since the XYZ format only supports one line or polygon per file. Multipart features will also have each part written to a separate file. The file name will be appended with the OID of each feature, as well as any additional characters needed to make each file name unique.",LiteralData,String,,,,,,,,,,,,
16,out_feature_class,The resulting footprint polygon feature class.,Vector,Feature Class,,,,,,,,,,,,,,,,
17,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,out_geometry_type,The geometry type of the output feature class.MULTIPOINT ！Multipoints are recommended the input data contains a large number of points and attributes per feature are not required.POINT ！Each XYZ coordinate will produce one point feature.POLYLINES ！The output will contain polyline features.POLYGONS ！The output will contain polygon features.,LiteralData,String,,,,,,,,,,,,
18,out_featureClass,The multipatch that will be created from the input files.,Vector,Feature Class,,,,,,,,,,,,,,,,
19,out_tin_folder,The folder that the output TINs will be created in.,GeoData,Folder,,,,,,,,,,,,,,,,
20,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
21,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
22,out_tin,The TIN dataset that will be generated.,Raster,TIN,,,,,,,,,,,,,,,,
23,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,out_geometry_type,The geometry of the output feature class.LINE ！The output will be a z-enabled line feature class.POLYGON ！The output will be a z-enabled polygon feature class.,LiteralData,String,,,,,,,,,,,,
24,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
25,out_tin,The TIN dataset that will be generated.,Raster,TIN,,,,,,,,,,,,,,,,
26,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
27,out_raster,"The location and name of the output raster. When storing a raster dataset in a geodatabase or in a folder such as an Esri Grid, no fileextension should be added to the name of the raster dataset. A file extension can be provided to define the rasters format when storing it in a folder, such as .tif to generate a GeoTIFF or .img to generate an ERDAS IMAGINE format file. If the raster is stored as a TIFF file or in a geodatabase, its raster compression type and quality can be specified using geoprocessing environment settings.",Raster,Raster Dataset,,,,,,,,,,,,,,,,
28,out_tin,The TIN dataset that will be generated.,Raster,TIN,,,,,,,,,,,,,,,,
29,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,out_geometry_type,The geometry of the output feature class.LINE ！The output will be a z-enabled line feature class.POLYGON ！The output will be a z-enabled polygon feature class.,LiteralData,String,,,,,,,,,,,,
30,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
31,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
32,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
33,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
34,out_raster,"The location and name of the output raster. When storing a raster dataset in a geodatabase or in a folder such as an Esri Grid, no fileextension should be added to the name of the raster dataset. A file extension can be provided to define the rasters format when storing it in a folder, such as .tif to generate a GeoTIFF or .img to generate an ERDAS IMAGINE format file. If the raster is stored as a TIFF file or in a geodatabase, its raster compression type and quality can be specified using geoprocessing environment settings.",Raster,Raster Dataset,,,,,,,,,,,,,,,,
35,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
