2675,Output,Contains the accumulated input layer(s).,Any,ComplexData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,Output: Output PCT channel,"Optionally specifies the output pseudocolor table (PCT) channel segment to receive data. If no segment is specified, a new segment is created.",PCT,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,Output: Adjusted DEM layer,The output layer that will contain the adjusted DEM.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,Output: Output layer,Specifies the output layer that will receive the Angle of Incidence image.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,OutputMM: Output math model layer,Specifies the output math model layer in which to store the computed model.,BIN,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,Output: Output raster channel(s),"Specifies the output channels in an existing output file to receive the radiometrically transformed selected input bands. By default, the first N channels of the output file, where N is the number of selected input bands, are specified.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,Output Raster: Output raster channel or layer,"Specifies the output raster channel that receives the raster layer derived from the point layer. The georeferencing will either be determined from the georeferencing information, the bitmap layer, or calculated using the point layer extents and the pixel X/Y size. The raster type is either 8U, 16U, or 32R, depending on the number of points used.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,Output: Output Raster: Output raster channel or layer,"Specifies the output raster channel that receives the raster layer derived from the point layer. The georeferencing will either be determined from the georeferencing information, the bitmap layer, or calculated using the point layer extents and the pixel X/Y size.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2685,Output: Output,Specifies the output image layer that will receive the arithmetic or logical results.,Raster,Raster,Minimum Output Range,"Specifies the minimum output range for scaling the results of image arithmetic operations when the Autoscaling method is set to ""USER"". Minimum Output should be less than or equal to the Maximum Output Range. The value of this parameter is ignored if: AUTOSCA is ""OFF"" or ""ON"" OPER equals ""AND"" or ""OR"" For more detailed information, see Scaling in the Details section.",Float,LiteralData,Maximum Output Range,"Specifies the maximum output range for scaling the results of image arithmetic operations when the Autoscaling method is set to ""USER"". Maximum Output should greater than or equal to the Minimum Output Range. The value of this parameter is ignored if: AUTOSCA is ""OFF"" or ""ON"" OPER equals ""AND"" or ""OR"" For more detailed information, see Scaling in the Details section.",Float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,Output: Output image channel,Optionally specifies the output channel to receive the arithmetic or logical results.,Raster,Raster,Minimum output,"Specifies the minimum output range for scaling the results of image arithmetic operations, when the autoscaling mode is set to USER. The minimum output range must be less than or equal to the maximum output range. This parameter is ignored if: autoscaling mode is OFF or ON operation is set to AND or OR See the Scaling section in the Function Details for more information.",String,LiteralData,Maximum output,"Specifies the maximum output range for scaling the results of image arithmetic operations, when the autoscaling mode is set to USER. The maxiumum output range must be greater than or equal to the minumum output range. This parameter is ignored if: autoscaling mode is OFF or ON operation is set to AND or OR See the Scaling section in the Function Details for more information.",String,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,Output: Output file name,Specifies the PCIDSK image file to receive the values that are stored in the text file. This file already exists and is not created by ARRREAD.,Array,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,OutputCorr: Output corrected image file,Specifies the name of the output file to receive the atmospherically corrected scene.,Raster,Raster,OutputVis: Output visibility map,Optionally specifies the name of the output file to receive the visibility map.,Raster,Raster,Output units,"Optionally specifies the output units for the atmospherically corrected image. Available options are: 16 Bit Reflectance: Computed output will be in reflectance units 0 to 10000 stored in a 16S channel (default). Pure Reflectance: Computed output will be in reflectance units (0-1) stored in a 32R channel. Percent Reflectance: Computed output will be in reflectance units (0-100%) stored in a 32R channel. Scaled Reflectance: Computed output will be in reflectance units (0-1) multiplied by the specified Scaling Factor. If the Scaling Factor is not specified, a default of 400.0 is used for 8-bit channels, and a default of 1000 is used for 16-bit data and higher. Note: With Pure Reflectance, reflectance values greater than one (1) are possible over very bright areas in which specular reflectance is occurring; that is, all light is reflected in one direction. Such situations occur typically over roofs of buildings (mirror reflection), water (sun glint), and, to a lesser extent, over snow and very thick clouds.",String,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,Output: Surface temperature map,"Specifies the file name for the output surface temperature map scene. The output file will contain as many channels as the input file for Landsat-4, Landsat-5, and Landsat-7. It will contain only one channel for Landsat-8 and ASTER. The georeferencing of the output file will be the same as the input file and the bit depth of the output data is determined by the Output Units parameter. The specified file must not already exist.",Raster,Raster,Output units,"Optionally specifies the output units for the atmospherically corrected image. Available options are: Temperature: absolute values of temperature, in degrees Celsius, will be stored in a 32R channel (default). Scaled_Reflectance: scales the output temperature units to fit the input bit depth, using the specified Scaling Factor.",String,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,Output: Output transformed file name,Specifies the name of the output file to receive the transformed image data. The specified file must not exist prior to running ATRLUT.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,OutputGCP: Output GCP segment,"Specifies the GCP segment of the image file (FILE) to receive the collected GCPs. If the specified segment does not exist or if this parameter is not specified, a new GCP segment is created. If the specified segment already exists, new GCPs are appended to that segment; GCPs already present in the segment are not overwritten.",CGP,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,OutputEpiDEM: Output epipolar DEM layer,The name of the file that contains the output epipolar DEM layer.,Raster,Raster,OutputEpiScor: Output epipolar score,The name of the file that contains the output epipolar-correlation score.,Raster,Raster,OutputEpiRaster: Output copied epipolar-image layer,The name of the file that contains the output copied epipolar image.,Raster,Raster,OutputMMLeft: Output left math model,The name of the file that contains the output math-model segment for the left-epipolar image layers.,BIN,NonGeoData,OutputMMRight: Output right math model,The name of the file that contains the output math-model segment for the right-epipolar image layers.,BIN,NonGeoData,EpipolarHeader: Output epipolar header,The header for the output epipolar image layers.,BIN,NonGeoData,OutputGeoScore: Output geocoded score,The name of the file that contains the output geocoded-correlation score.,Raster,Raster,OutputGeocodedDEM: Output geocoded DEM,"The name of the file to which to write the output geocoded DEM. This is an optional parameter to directly create a geocoded DEM of all generated epipolar DEMs. If a value is specified for this parameter, a composite geocoded DEM is generated from the epipolar DEMs computed individually. The geocoded DEM is written to the specified PCIDSK file. If no value is specified for this parameter, the epipolar DEMs are generated, but no geocoded DEM is written as output. To geocode the epipolar DEMs after running AUTODEM, run the GEOCODEDEM algorithm. This parameter is optional.",Raster,Raster,"Output pixel ground size (X,Y)","The resolution, in meters or feet, of the generated pixels. If no value is specified for this parameter and the Map projection (MAPUNITS) parameter, the resolution is determined automatically from the input files. This parameter is optional.",Float,LiteralData,OutputVec: Output vector cutlines,A vector segment containing whole polygons that are roughly representative of the original raw-image locations.,VEC,Vector
2694,OutputText: Output OrthoEngine project file,"Connects to the EXPORT module, which exports the OrthoEngine project file containing the extracted fiducial measurements. The file must not already exist. If this parameter is not specified, the extracted fiducial marks are added to the input project file.",Text,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,OutputGCP: GCP segment,"Specifies the GCP segment in the input file to receive the collected GCPs. If this parameter is not specified, a new GCP segment is created.",GCP,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,Output: Merged Signature Layer(s): Output signature segment,Specifies the output signature segment(s) to receive the merged signatures.,SIG,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,Output: Output file name,"Specifies the path and file name of the single file that will contain all channels of the output mosaic image. If the mosaic image is to be output as a single file, this parameter specifies the path and file name of the file that will contain all channels of the mosaic image. If the mosaic image is to be separated into tiles, this parameter will be used as part of the path and file name for each file that will contain all channels of one tile of the output mosaic image. For more information about tiling, see the Function Details section. This parameter may be empty only if MOSTYPE (Mosaic Type) is empty or set to ""NONE"".",Raster,Raster,OutputVector: Output cutline vector file name,"Specifies the path and file name of the file in which new cutlines will be saved. If the cutlines are to be stored in an existing vector segment, the number of that segment must be specified with the DBOV (Output Vector Segment) parameter.",Vector,Vector,Output LUT Layer: Output lookup table segment numbers,"Specifies the segment numbers in an output lookup table (LUT) in which to store image color balancing information. If color balancing is requested (see BALMTHD), this parameter allows the user to store the LUT for every image channel. To create new LUT segment numbers to store the LUTs, set DBLUTO=""CREATE"" or ""0"". To overwrite existing LUT segment numbers, set DBLUTO equal to the segment numbers. If one or more segments numbers are specified, the format of the output files must PCIDSK.",LUT,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,OutputGCP: Output GCP segment,Specifies the output GCP segment to receive the registered image output.,GCP,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,Output: Output shifted SAR image,Specifies the name of the output file that is created. This file will contain the same number of channels as the specified input channels. The specified file must not already exist.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,Output: Output OrthoEngine project file,The name of the OrthoEngine project file to which to write the TPs collected automatically by AUTOTIE .,Text,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,Output1: Level 1 output image channels,Specifies the list of output channels to receive the level-1 aggregated images.,Raster,Raster,Output2: Level 2 output image channels,Specifies the list of output channels to receive the level-2 aggregated images.,Raster,Raster,Output3: Level 3 output image channels,Specifies the list of output channels to receive the level-3 aggregated images.,Raster,Raster,Output4: Level 4 output image channels,Specifies the list of output channels to receive the level-4 aggregated images.,Raster,Raster,Output5: Level 5 output image channels,Specifies the list of output channels to receive the level-5 aggregated images.,Raster,Raster,,,,,,,,,,,,,,,,,,,,
2702,Output: Output raster channel(s),"Specifies the channels in the output file (FILO) to receive the corrected image data. For each input channel specified (DBIC), an output channel must be specified. Duplicate channels are not allowed. If the output file does not exist, this parameter is ignored.",Raster,Raster,Output UTM Pixel Resolution,"This parameter applies only when a new output file is created; it allows you to specify a pixel resolution or size (in meters) for the output file. By default, the pixel size is set to 1,000 m (for example, 1000 x 1000 meters). The pixel size determines the number of pixels and lines in the output file. Decreasing the pixel size results in a larger output file and increased computation time.",Float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,Output: Output raster channel(s),"Specifies the channels in the output file (FILO) to receive the corrected or calibrated image data. For each input channel specified (DBIC), an output channel must be specified in this parameter (unless the ""ANG"" CTYPE option is selected). Duplicate output channels are not allowed.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,OutputMM: Output math model segment or layer,Specifies the geomateric math model segment or layer in which to store the model.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,Output: Output line segment,Specifies the output file to receive the lines.,Vector,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Output: Output vector segment,Specifies the output file to receive the polygons.,Vector,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,Output: Logical Results Layer: Output bitmap,"Optionally specifies the output bitmap segment to receive the generated logical result. If this parameter is explicitly specified, the bitmap segment is overwritten. If it is not specified, a new bitmap segment is created.",Bitmap,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,Output: Output raster channel(s),Specifies the image channels in the output file (FILO) to receive the corrected image channels. Duplicate channels are not allowed.,Raster,Raster,OutputBitmaps: Output control bitmap segment(s),"Specifies the output bitmap segment(s) that define the area that is corrected and generated to the output file. If this parameter is specified, the bitmaps must exist in the input file (FILI). Duplicate segments are not allowed.",Bitmap,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,Output: Burned raster,Optionally specifies the output channels to receive the burned raster.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,OutputText: Output OrthoEngine project file,"The name of a OrthoEngine project file to create, and which to write the contents of the input project file and camera-calibration information read from the input XML file. If the output project file is the same as the input project file then CAMIMPORT will update the input project file. If the output project file exists, CAMIMPORT, an error message will be displayed in the log.",Text,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713,Output: Output intensity change metric raster,"Specifies the name of the output file that is created. The specified file must not already exist. The output file will consist of the overlap area, and four channels that describe: the intensity value (or sum of intensities) of the input test data the intensity value (or sum of intensities) of the reference data the absolute value of the intensity ratio (written in decibels) between the test and reference average intensity the change, as percentiles, ranked from 0% (no change) to 100% (maximum change) The direction of change is inferred by visual inspection of the output.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714,Output: Output phase change metric raster,"Specifies the name of the output file that is created. The output file will consist of the overlap area, and four channels that describe: the intensity value (or sum of intensities) of the input test data the intensity value (or sum of intensities) of the reference data the absolute value of the intensity ratio (written in decibels) between the test and reference average coherence the change, as percentiles, ranked from 0% (no change) to 100% (maximum change) The direction of change is inferred by visual inspection of the output. The specified file must not already exist.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715,Output: Output Wishart change metric raster,"Specifies the name of the output file that is created. The output file will consist of the overlap area, and four channels that describe: the intensity value (or sum of intensities) of the input test data the intensity value (or sum of intensities) of the reference data the Wishart metric (written in decibels) the change, as percentiles, ranked from 0% (no change) to 100% (maximum change) The direction of change is inferred by visual inspection of the output. The specified file must not already exist.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,Output: Output weighted change raster,Specifies the name of the output file to be created. This file will contain the weighted metric in channel 1 and the weighted metric cumulative percentile values in channel 2. The specified file must not already exist.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717,Output: Output satellite CD layer(s),The name of the PCIDSK file to receive data. This file will be created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris segment,The name of the file to which to write the output satellite orbital ephemeris segment. This parameter is optional.,ORB,GeoData,OutputRF: Output rational function layer,The name of the file to which to write the output rational function layer. This parameter is optional.,BIN,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718,Output: Satellite CD Layers,"Specifies the list of channels to receive the data from the CD. For each input channel specified, an output channel must be specified.",Integer,LiteralData,OutputOrbit: Output satellite orbital ephemeris segment,Specifies output segment to receive the satellite orbital ephemeris data.,ORB,GeoData,Output: Satellite GCP Layer: Output satellite GCP segment,Specifies output segment to receive the ground control points.,GCP,GeoData,OutputARR: Output SAR-specific array segments,"Specifies output segment to receive the SAR offset, gain, incident angle, and SRGR segments.",ARR,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,
2719,Output: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. This file will be created automatically and must not already exist.,Raster,Raster,Output Orbit: Output file name,Specifies the output satellite orbital ephemeris layer(s) that will receive the orbital information.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720,Output: Output file name,The name of the PCIDSK file to which the processed data will be written. This file will be created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,The name of the output file that will contain the output layer of the satellite orbital ephemeris.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721,Output: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. This file will be created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,Specifies the name of the output file that will contain the output satellite satellite orbital ephemeris layer.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
