PySAL,[],libpysal.cg.get_rectangle_rectangle_intersection,5305,Returns the intersection between two rectangles.,r0,A rectangle to check for an intersection.,libpysal.cg.Rectangle,Vector,r1,A rectangle to check for an intersection against r0 .,libpysal.cg.Rectangle,Vector,checkOverlap,"Call bbcommon(r0, r1) prior to complex geometry
checking. Default is True . Prior to setting as False see the Notes section.",bool,LiteralData,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],mapclassify.FisherJenks,5306,Fisher Jenks optimal classifier - mean based.,y,"\((n,1)\) , values to classify.",numpy.array,Vector,k,The number of classes required.,int,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],segregation.singlegroup.RelativeConcentration,5307,Relative Concentration Index.,data,dataframe or geodataframe if spatial index holding data for location of interest,pandas.DataFrame or geopandas.GeoDataFrame,GeoData,group_pop_var,name of column on dataframe holding population totals for focal group,str,LiteralData,total_pop_var,name of column on dataframe holding total overall population,str,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],mapclassify.gadf,5308,"Evaluate the Goodness of Absolute Deviation Fit ( GADF ) of a classifier and
find the minimum value of \(k\) for which gadf > pct .",y,"\((n, 1)\) , values to be classified.",numpy.array,Vector,method,"The classification method in: {'Quantiles', 'Fisher_Jenks', 'Maximum_Breaks', 'Natrual_Breaks'} .",str,LiteralData,maxk,Maximum value of \(k\) to evaluate.,int,LiteralData,pct,The percentage of GADF to exceed.,float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],segregation.multigroup.SimpsonsConcentration,5309,Simpsons Concentration Index.,data,dataframe or geodataframe if spatial index holding data for location of interest,pandas.DataFrame or geopandas.GeoDataFrame,GeoData,groups,list of columns on dataframe holding population totals for each group,list,Vector,w,lipysal spatial kernel weights object used to define an egohood,libpysal.weights.KernelW,Vector,network,pandana Network object representing the study area,pandana.Network,Vector,distance,Maximum distance (in units of geodataframe CRS) to consider the extent of the egohood,int,LiteralData,decay,type of decay function to apply. Options include,str,LiteralData,precompute,Whether to precompute the pandana Network object,bool,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],spreg.diagnostics_sur.sur_lrtest,5310,Likelihood Ratio test on off-diagonal elements of Sigma,n,cross-sectional dimension (number of observations for an equation),int,LiteralData,n_eq,number of equations,int,LiteralData,ldetS0,log determinant of Sigma for OLS case,float,LiteralData,ldetS1,log determinant of Sigma for SUR case (should be iterated),float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],spreg.GM_Endog_Error_Hom,5311,"GMM method for a spatial error model with homoskedasticity and endogenous
variables, with results and diagnostics; based on Drukker et al. (2013) [DEP13] , following Anselin (2011) [Ans11] .",y,nx1 array for dependent variable,array,Vector,x,"Two dimensional array with n rows and one column for each
independent (exogenous) variable, excluding the constant",array,Vector,yend,"Two dimensional array with n rows and one column for each
endogenous variable",array,Vector,q,"Two dimensional array with n rows and one column for each
external exogenous variable to use as instruments (note: 
this should not contain any variables from x)",array,Vector,w,Spatial weights object,pysal W object,Vector,max_iter,Maximum number of iterations of steps 2a and 2b from [ADKP10] . Note: epsilon provides an additional stop condition.,int,LiteralData,epsilon,"Minimum change in lambda required to stop iterations of
steps 2a and 2b from [ADKP10] . Note: max_iter provides
an additional stop condition.",float,LiteralData,A1,"If A1=a??heta??, then the matrix A1 is defined as in [ADKP10] .
If A1=a??homa??, then as in [Ans11] . If
A1=a??hom_sca?? (default), then as in [DEP13] and [DPR13] .",string,LiteralData,vm,"If True, include variance-covariance matrix in summary
results",boolean,LiteralData,name_y,Name of dependent variable for use in output,string,LiteralData,name_x,Names of independent variables for use in output,list of strings,Vector,name_yend,Names of endogenous variables for use in output,list of strings,Vector,name_q,Names of instruments for use in output,list of strings,Vector,name_w,Name of weights matrix for use in output,string,LiteralData,name_ds,Name of dataset for use in output,string,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],esda.shape.shape_index,5312,"Schumm＊s shape index (Schumm (1956) in MacEachren 1985) where \(A\) is the area and \(R\) is the radius of the minimum bounding
circle. Notes Implementation follows [ Mac85 ] .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],splot.mapping.value_by_alpha_cmap,5313,Calculates Value by Alpha rgba values,x,Variable determined by color,array,Vector,y,Variable determining alpha value,array,Vector,cmap,"Matplotlib Colormap or list of colors used
to create vba_layer",str or list of str,Vector,revert_alpha,"If True, high y values will have a
low alpha and low values will be transparent.
Default =False.",bool,LiteralData,divergent,"Creates a divergent alpha array with high values
at the extremes and low, transparent values
in the middle of the input values.",bool,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],momepy.subgraph,5314,"Calculates all subgraph-based characters. Generating subgraph might be a time
consuming activity. If we want to use the same subgraph for more characters, subgraph allows this by generating subgraph and then analysing it using
selected options.",graph,"A Graph representing a street network.
Ideally generated from GeoDataFrame using momepy.gdf_to_nx() .",networkx.Graph,Vector,radius,Include all neighbors of distance <= radius from n .,int,LiteralData,distance,"Use specified edge data key as distance. For example, setting distance=＊weight＊ will use the edge weight to
measure the distance from the node n .",str,LiteralData,meshedness,Calculate meshedness ( True or ``False ).,bool,LiteralData,cds_length,Calculate cul-de-sac length ( True or ``False ).,bool,LiteralData,mode,"If 'sum' , calculate total cds_length ,
if 'mean' calculate mean cds_length .",str (defualt ＆sum＊),LiteralData,degree,The name of attribute of node degree ( momepy.node_degree() ).,str,LiteralData,length,The name of the attribute of segment length (geographical).,str,LiteralData,mean_node_degree,Calculate mean node degree ( True or ``False ).,bool,LiteralData,proportion,"Calculate proportion {3: True/False, 4: True/False, 0: True/False} .",dict,LiteralData,cyclomatic,Calculate cyclomatic complexity ( True or ``False ).,bool,LiteralData,edge_node_ratio,Calculate edge node ratio ( True or ``False ).,bool,LiteralData,gamma,Calculate gamma index ( True or ``False ).,bool,LiteralData,local_closeness,Calculate local closeness centrality ( True or ``False ).,bool,LiteralData,closeness_weight,"Use the specified edge attribute as the edge distance in shortest
path calculations in closeness centrality algorithm.",str,LiteralData,verbose,"If True , shows progress bars in loops and indication of steps.",bool,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],spint.gravity.Doubly,5315,Doubly-constrained gravity-type spatial interaction model,flows,n x 1; observed flows between O origins and D destinations,array of integers,Vector,origins,"n x 1; unique identifiers of origins of n flows; when
there are many origins it will be faster to use integers
rather than strings for id labels.",array of strings,Vector,destinations,"n x 1; unique identifiers of destinations of n flows; when
there are many destinations it will be faster to use
integers rather than strings for id labels",array of strings,Vector,cost,"n x 1; cost to overcome separation between each origin and
destination associated with a flow; typically distance or time",array,Vector,cost_func,"functional form of the cost function;
a??expa?? | a??powa?? | custom function",string or function that has scalar input and output,LiteralData,constant,True to include intercept in model; True by default,boolean,LiteralData,y,"n x 1; dependent variable used in estimation including any
transformations",array,Vector,X,"n x k, design matrix used in estimation",array,Vector,framework,estimation technique; currently only a??GLMa?? is avaialble,string,LiteralData,Quasi,"True to estimate QuasiPoisson model; should result in same
parameters as Poisson but with altered covariance; default
to true which estimates Poisson model",boolean,LiteralData,SF,"n x 1; eigenvector spatial filter to include in the model;
default to None which does not include a filter; not yet
implemented",array,Vector,CD,"n x 1; competing destination term that accounts for the
likelihood that alternative destinations are considered
along with each destination under consideration for every
OD pair; defaults to None which does not include a CD
term; not yet implemented",array,Vector,Lag,"spatial weight for n observations (OD pairs) used to
construct a spatial autoregressive model and estimator;
defaults to None which does not include an autoregressive
term; not yet implemented",W object,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],mapclassify.JenksCaspallSampled,5316,Jenks Caspall Map Classification using a random sample.,y,"\((n,1)\) , values to classify.",numpy.array,Vector,k,The number of classes required.,int,LiteralData,pct,"The percentage of \(n\) that should form the sample.
If pct is specified such that \(n*pct > 1000\) , then \(pct = 1000./n\) .",float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],libpysal.cg.PolygonLocator,5317,An abstract representation of a polygon indexing data structure.,polygons,,a list of polygons to index,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
