WhiteBox,2.4.0,AddPointCoordinatesToTable,2109,"This tool modifies the attribute table of a vector of POINT ShapeType by adding two fields,
XCOORD and YCOORD, containing each point's X and Y coordinates respectively.","i, --input",Input vector Points file,,,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,CleanVector,2110,"This tool can be used to remove all features in Shapefiles that are of the null ShapeType. It also
removes line features with fewer than two vertices and polygon features with fewer than three vertices.","i, --input",Input vector file,"o, --output",Output vector file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,ConvertNodataToZero,2111,"This tool can be used to change the value within the grid cells of a raster file (--input) that contain
NoData to zero. The most common reason for using this tool is to change the background region of a raster
image such that it can be included in analysis since NoData values are usually ignored by by most tools.
This change, however, will result in the background no longer displaying transparently in most GIS. This
change can be reversed using the SetNoDataValue tool.","i, --input",Input raster file,"o, --output",Output raster file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,ConvertRasterFormat,2112,"This tool converts raster data from one format to another. It determines input/output raster
formats based on extensions, but due to file extension naming collisions, it would be good to
add user hints. For example, the extension 'grd' could belong to a SurferAscii or a Surfer7Binary.
This is more important for distinguishing output files since input files can be read and
distiguishing features idenfitied from the file structure. At the moment, this tool does not
support user hints however.","i, --input",Input raster file,"o, --output",Output raster file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,CsvPointsToVector,2113,"This tool can be used to import a series of points contained within a comma-separated values
(*.csv) file (--input) into a vector shapefile of a POINT ShapeType. The input file must be an ASCII text
file with a .csv extensions. The tool will automatically detect the field data type; for numeric
fields, it will also determine the appropriate length and precision. The user must specify the
x-coordinate (--xfield) and y-coordiante (--yfield) fields. All fields are imported as
attributes in the output (--output) vector file. The tool assumes that the first line of the file is a header line from which field
names are retrieved.","i, --input",Input CSV file (i.e. source of data to be imported),"o, --output",Output vector file,xfield,X field number (e.g. 0 for first field),yfield,Y field number (e.g. 1 for second field),epsg,EPSG projection (e.g. 2958),,,,,,,,,,,,,,,,
WhiteBox,2.4.0,ExportTableToCsv,2114,"This tool can be used to export a vector's attribute table to a comma separated values (CSV)
file. CSV files stores tabular data (numbers and text) in plain-text form such that each row
corresponds to a record and each column to a field. Fields are typically separated by commas
within records. The user must specify the name of the vector (and associated attribute file),
the name of the output CSV file, and whether or not to include the field names as a header
column in the output CSV file.","i, --input",Input vector file,"o, --output",Output csv file,headers,Export field names as file header?,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,FixDanglingArcs,2115,"Note this tool is part of a WhiteboxTools extension product. Please visit
Whitebox Geospatial Inc. for information about purchasing a license
activation key (https://www.whiteboxgeo.com/extension-pricing/).","i, --input",Name of the input lines vector file,"o, --output",Name of the output lines vector file,"snap, --dist","Snap distance, in xy units (metres)",,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,JoinTables,2116,"This tool can be used to join (i.e. merge) a vector's attribute table with a second table. The
user must specify the name of the vector file (and associated attribute file) as well as the
primary key within the table. The primary key (--pkey flag) is the field
within the table that is being appended to that serves as the identifier. Additionally, the user
must specify the name of a second vector from which the data appended into the first table will be
derived. The foreign key (--fkey flag), the identifying field within the
second table that corresponds with the data contained within the primary key in the table, must be
specified. Both the primary and foreign keys should either be strings (text) or integer values.
Fields containing decimal values are not good candidates for keys. Lastly, the names of the field
within the second file to include in the merge operation can also be input (--import_field). If the
--import_field field is not input, all fields in the attribute table of the second file, that are not
the foreign key nor FID, will be imported to the first table.","i1, --input1",Input primary vector file (i.e. the table to be modified),pkey,Primary key field,"i2, --input2",Input foreign vector file (i.e. source of data to be imported),fkey,Foreign key field,import_field,Imported field (all fields will be imported if not specified),,,,,,,,,,,,,,,,
WhiteBox,2.4.0,LinesToPolygons,2117,"This tool converts vector polylines into polygons. Note that this tool will close polygons
that are open and will ensure that the first part of an input line is interpreted
as the polygon hull and subsequent parts are considered holes. The tool does not
examine input lines for line crossings (self intersections), which are topological
errors.","i, --input",Input vector line file,"o, --output",Output vector polygon file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,MergeTableWithCsv,2118,"This tool can be used to merge a vector's attribute table with data contained within a comma
separated values (CSV) text file. CSV files stores tabular data (numbers and text) in plain-text
form such that each row is a record and each column a field. Fields are typically separated by
commas although the tool will also support seimi-colon, tab, and space delimited files. The user
must specify the name of the vector (and associated attribute file) as well as the primary key
within the table. The primary key (--pkey flag) is the field within the
table that is being appended to that serves as the unique identifier. Additionally, the user must
specify the name of a CSV text file with either a *.csv or *.txt extension. The file must possess a
header row, i.e. the first row must contain information about the names of the various fields. The
foreign key (--fkey flag), that is the identifying field within the
CSV file that corresponds with the data contained within the primary key in the table, must also
be specified. Both the primary and foreign keys should either be strings (text) or integer values.
Fields containing decimal values are not good candidates for keys. Lastly, the user may optionally
specify the name of a field within the CSV file to import in the merge operation (--import_field flag).
If this flag is not specified, all of the fields within the CSV, with the exception of the foreign
key, will be appended to the attribute table.","i, --input",Input primary vector file (i.e. the table to be modified),pkey,Primary key field,csv,Input CSV file (i.e. source of data to be imported),fkey,Foreign key field,import_field,Imported field (all fields will be imported if not specified),,,,,,,,,,,,,,,,
WhiteBox,2.4.0,MergeVectors,2119,"Combines two or more input vectors of the same ShapeType creating a single, new output
vector. Importantly, the attribute table of the output vector will contain the ubiquitous
file-specific FID, the parent file name, the parent FID, and the list of attribute fields
that are shared among each of the input files. For a field to be considered common
between tables, it must have the same name and field_type (i.e. data type and
precision).","i, --inputs",Input vector files,"o, --output",Output vector file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,ModifyNoDataValue,2120,"This tool can be used to modify the value of pixels containing the NoData value for an input raster image.
This operation differs from the SetNodataValue tool, which sets the NoData value for an image in the
image header without actually modifying pixel values. Also, SetNodataValue does not
overwrite the input file, while the ModifyNoDataValue tool does. This tool cannot modify the
input image data type, which is important to note since it may cause an unexpected behaviour if the
new NoData value is negative and the input image data type is an unsigned integer type.","i, --input",Input raster file,new_value,New NoData value,,,,,,,,,,,,,,,,,,,,,,
