GEE,[],ee.Algorithms.CannyEdgeDetector,3117,"Applies the Canny edge detection algorithm to an image. The output is an image whose bands have the same names as the input bands, and in which non-zero values indicate edges, and the magnitude of the value is the gradient magnitude.",image,The image on which to apply edge detection.,Image,Raster,threshold,Threshold value. The pixel is only considered for edge detection if the gradient magnitude is higher than this threshold.,Float,LiteralData,sigma,Sigma value for a gaussian filter applied before edge detection. 0 means apply no filtering.,Float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Collection,3118,Returns a Collection containing the specified features.,features,The features comprising the collection.,List,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.CrossCorrelation,3119,"Gives information on the quality of image registration between two (theoretically) co-registered images. The input is two images with the same number of bands. This function outputs an image composed of four bands of information. The first three are distances: the deltaX, deltaY, and the Euclidean distance for each pixel in imageA to the pixel which has the highest corresponding correlation coefficient in imageB. The fourth band is the value of the correlation coefficient for that pixel [-1 : +1].",imageA,"First image, with N bands.",Image,Raster,imageB,"Second image, must have the same number of bands as imageA.",Image,Raster,maxGap,The greatest distance a pixel may shift in either X or Y.,Integer,LiteralData,windowSize,Size of the window to be compared.,Integer,LiteralData,maxMaskedFrac,"The maximum fraction of pixels within the correlation window that are allowed to be masked. This test is applied at each offset location within the search region. For each offset, the overlapping image patches are compared and a correlation score computed. A pixel within these overlapping patches is considered masked if either of the patches is masked there. If the test fails at any single location in the search region, the output pixel for which the correlation is being computed is considered invalid, and will be masked.",Float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Date,3120,Creates a Date.,value,"A number (interpreted as milliseconds since 1970-01-01T00:00:00Z), or string such as '1996-01-01' or '1996-001' or '1996-01-01T08:00'.",Object,NonGeoData,timeZone,"The time zone (e.g., 'America/Los_Angeles'); defaults to UTC.",String,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Describe,3121,Describes an object using a simple JSON-compatible structure.,input,The object to describe.,Object,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Dictionary,3122,Constructs a dictionary.,input,An object to convert to a dictionary. Either a JSON dictionary or a list of alternating key/value pairs. Keys must be strings.,Object,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.FMask.fillMinima,3123,Fills local minima. Only works on INT types.,image,The image to fill.,Image,Raster,borderValue,The border value.,Long,LiteralData,neighborhood,The size of the neighborhood to compute over.,Integer,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.FMask.matchClouds,3124,"Runs the FMask cloud and shadow matching. Outputs a single band ('csm'), containing the computed cloud and shadow masks.",input,The scene for which to compute cloud and shadow masks.,Image,Raster,cloud,Potential cloud mask image. Expected to contain 1s for cloudy pixels and masked pixels everywhere else.,Image,Raster,shadow,Potential shadow mask image. Expected to contain 1s for shadow pixels and masked pixels everywhere else.,Image,Raster,btemp,"Brightness temperature image, in Celsius.",Image,Raster,sceneLow,The 0.175 percentile brightness temperature of the scene.,Float,LiteralData,sceneHigh,The 0.825 percentile brightness temperature of the scene.,Float,LiteralData,neighborhood,The neighborhood to pad around each tile.,Integer,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Feature,3125,Returns a Feature composed of the given geometry and metadata.,geometry,The geometry of the feature.,Geometry,Vector,metadata,The properties of the feature.,Dictionary,NonGeoData,geometryKey,Obsolete; has no effect.,String,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.BBox,3126,"Constructs a rectangle whose edges are lines of latitude and longitude. The result is a planar WGS84 rectangle. If (east - west) ¡Ý 360 then the longitude range will be normalized to -180 to +180; otherwise they will be treated as designating points on a circle (e.g., east may be numerically less than west).",west,The westernmost enclosed longitude. Will be adjusted to lie in the range -180 to 180.,Float,LiteralData,south,"The southernmost enclosed latitude. If less than -90 (south pole), will be treated as -90.",Float,LiteralData,east,The easternmost enclosed longitude.,Float,LiteralData,north,"The northernmost enclosed latitude. If greater than +90 (north pole), will be treated as +90.",Float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.LineString,3127,Constructs a LineString from the given coordinates.,coordinates,"The list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.LinearRing,3128,"Constructs a LinearRing from the given coordinates, automatically adding the first point at the end if the ring is not explicitly closed.",coordinates,"The list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.MultiGeometry,3129,Constructs a MultiGeometry from the given list of geometry elements.,geometries,The list of geometries for the MultiGeometry.,List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.MultiLineString,3130,Constructs a MultiLineString from the given coordinates.,coordinates,"The list of LineStrings, or to wrap a single LineString, the list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.MultiPoint,3131,Constructs a MultiPoint from the given coordinates.,coordinates,"The list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.MultiPolygon,3132,Constructs a MultiPolygon from the given coordinates.,coordinates,"A list of Polygons, or for one simple polygon, a list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,evenOdd,"If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.Point,3133,"Constructs a new Point from the given x,y coordinates.",coordinates,"The coordinates of this Point in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.Polygon,3134,Constructs a Polygon from the given coordinates.,coordinates,"A list of LinearRings where the first is the shell and the rest are holes, or for a simple polygon, a list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,evenOdd,"If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.Rectangle,3135,Constructs a rectangular polygon from the given corner points.,coordinates,"The low and then high corners of the Rectangle, as a list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,evenOdd,"If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.HillShadow,3136,"Creates a shadow band, with output 1 where pixels are illumunated and 0 where they are shadowed. Takes as input an elevation band, azimuth and zenith of the light source in degrees, a neighborhood size, and whether or not to apply hysteresis when a shadow appears. Currently, this algorithm only works for Mercator projections, in which light rays are parallel.",image,"The image to which to apply the shadow algorithm, in which each pixel should represent an elevation in meters.",Image,Raster,azimuth,Azimuth in degrees.,Float,LiteralData,zenith,Zenith in degrees.,Float,LiteralData,neighborhoodSize,Neighborhood size.,Integer,LiteralData,hysteresis,"Use hysteresis. Less physically accurate, but may generate better images.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
